 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00 
 5.00000000e-02  5.00000000e-02  5.00000000e-02 -2.22460287e-04  5.00000000e-02  1.00000000e+00 
 1.00000000e-01  1.00000000e-01  1.00000000e-01 -4.36872584e-04  1.00000000e-01  1.00000000e+00 
 1.50000000e-01  1.50000000e-01  1.50000000e-01 -6.43255923e-04  1.50000000e-01  1.00000000e+00 
 2.00000000e-01  2.00000000e-01  2.00000000e-01 -8.41658117e-04  2.00000000e-01  1.00000000e+00 
 2.50000000e-01  2.50000000e-01  2.50000000e-01 -1.03216775e-03  2.50000000e-01  1.00000000e+00 
 3.00000000e-01  3.00000000e-01  3.00000000e-01 -1.21492458e-03  3.00000000e-01  1.00000000e+00 
 3.50000000e-01  3.50000000e-01  3.50000000e-01 -1.39012841e-03  3.50000000e-01  1.00000000e+00 
 4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.55804687e-03  4.00000000e-01  1.00000000e+00 
 4.50000000e-01  4.50000000e-01  4.50000000e-01 -1.71902211e-03  4.50000000e-01  1.00000000e+00 
 5.00000000e-01  5.00000000e-01  5.00000000e-01 -1.87347713e-03  5.00000000e-01  1.00000000e+00 
 5.50000000e-01  5.50000000e-01  5.50000000e-01 -2.02192203e-03  5.50000000e-01  1.00000000e+00 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -2.16496094e-03  6.00000000e-01  1.00000000e+00 
 6.50000000e-01  6.50000000e-01  6.50000000e-01 -2.30330049e-03  6.50000000e-01  1.00000000e+00 
 7.00000000e-01  7.00000000e-01  7.00000000e-01 -2.43776067e-03  7.00000000e-01  1.00000000e+00 
 7.50000000e-01  7.50000000e-01  7.50000000e-01 -2.56928956e-03  7.50000000e-01  1.00000000e+00 
 8.00000000e-01  8.00000000e-01  8.00000000e-01 -2.69898362e-03  8.00000000e-01  1.00000000e+00 
 8.50000000e-01  8.50000000e-01  8.50000000e-01 -2.82811575e-03  8.50000000e-01  1.00000000e+00 
 9.00000000e-01  9.00000000e-01  9.00000000e-01 -2.95817466e-03  9.00000000e-01  1.00000000e+00 
 9.50000000e-01  9.50000000e-01  9.50000000e-01 -3.09091989e-03  9.50000000e-01  1.00000000e+00 
 1.00000000e+00  1.00000000e+00  1.00000000e+00 -3.22845985e-03  1.00000000e+00  1.00000000e+00 
